Split,Mask,NonLandslide_Pixels,Landslide_Pixels,Total_Pixels,Positive_Ratio_%
TrainData,mask_1141.h5,16177,207,16384,1.263427734375
TrainData,mask_1142.h5,16180,204,16384,1.2451171875
TrainData,mask_1143.h5,16356,28,16384,0.1708984375
TrainData,mask_1144.h5,16384,0,16384,0.0
TrainData,mask_1145.h5,16384,0,16384,0.0
TrainData,mask_1146.h5,16384,0,16384,0.0
TrainData,mask_1147.h5,16384,0,16384,0.0
TrainData,mask_1148.h5,16384,0,16384,0.0
TrainData,mask_1149.h5,16384,0,16384,0.0
TrainData,mask_115.h5,16384,0,16384,0.0
TrainData,mask_1150.h5,16384,0,16384,0.0
TrainData,mask_1151.h5,16384,0,16384,0.0
TrainData,mask_1152.h5,15845,539,16384,3.289794921875
TrainData,mask_1153.h5,16103,281,16384,1.715087890625
TrainData,mask_1154.h5,15662,722,16384,4.40673828125
TrainData,mask_1155.h5,15891,493,16384,3.009033203125
TrainData,mask_1156.h5,16377,7,16384,0.042724609375
TrainData,mask_1157.h5,16151,233,16384,1.422119140625
TrainData,mask_1158.h5,16064,320,16384,1.953125
TrainData,mask_1159.h5,16384,0,16384,0.0
TrainData,mask_116.h5,16291,93,16384,0.567626953125
TrainData,mask_1160.h5,15999,385,16384,2.349853515625
TrainData,mask_1161.h5,16265,119,16384,0.726318359375
TrainData,mask_1162.h5,15801,583,16384,3.558349609375
TrainData,mask_1163.h5,15645,739,16384,4.510498046875
TrainData,mask_1164.h5,14483,1901,16384,11.602783203125
TrainData,mask_1165.h5,16350,34,16384,0.20751953125
TrainData,mask_1166.h5,16189,195,16384,1.190185546875
TrainData,mask_1167.h5,15933,451,16384,2.752685546875
TrainData,mask_1168.h5,16105,279,16384,1.702880859375
TrainData,mask_1169.h5,16374,10,16384,0.06103515625
TrainData,mask_117.h5,16337,47,16384,0.286865234375
TrainData,mask_1170.h5,15816,568,16384,3.466796875
TrainData,mask_1171.h5,15945,439,16384,2.679443359375
TrainData,mask_1172.h5,15974,410,16384,2.50244140625
TrainData,mask_1173.h5,16244,140,16384,0.8544921875
TrainData,mask_1174.h5,16107,277,16384,1.690673828125
TrainData,mask_1175.h5,16370,14,16384,0.08544921875
TrainData,mask_1176.h5,16384,0,16384,0.0
TrainData,mask_1177.h5,16384,0,16384,0.0
TrainData,mask_1178.h5,16324,60,16384,0.3662109375
TrainData,mask_1179.h5,16202,182,16384,1.11083984375
TrainData,mask_118.h5,16096,288,16384,1.7578125
TrainData,mask_1180.h5,16248,136,16384,0.830078125
TrainData,mask_1181.h5,16384,0,16384,0.0
TrainData,mask_1182.h5,16023,361,16384,2.203369140625
TrainData,mask_1183.h5,16315,69,16384,0.421142578125
TrainData,mask_1184.h5,16384,0,16384,0.0
TrainData,mask_1185.h5,16335,49,16384,0.299072265625
TrainData,mask_1186.h5,16384,0,16384,0.0
TrainData,mask_1187.h5,16384,0,16384,0.0
TrainData,mask_1188.h5,16384,0,16384,0.0
TrainData,mask_1189.h5,16384,0,16384,0.0
TrainData,mask_119.h5,16087,297,16384,1.812744140625
TrainData,mask_1190.h5,16384,0,16384,0.0
TrainData,mask_1191.h5,16384,0,16384,0.0
TrainData,mask_1192.h5,16321,63,16384,0.384521484375
TrainData,mask_1193.h5,15904,480,16384,2.9296875
TrainData,mask_1194.h5,16256,128,16384,0.78125
TrainData,mask_1195.h5,14008,2376,16384,14.501953125
TrainData,mask_1196.h5,16029,355,16384,2.166748046875
TrainData,mask_1197.h5,16283,101,16384,0.616455078125
TrainData,mask_1198.h5,15976,408,16384,2.490234375
TrainData,mask_1199.h5,15649,735,16384,4.486083984375
TrainData,mask_12.h5,16384,0,16384,0.0
TrainData,mask_120.h5,16343,41,16384,0.250244140625
TrainData,mask_1200.h5,15746,638,16384,3.89404296875
TrainData,mask_1201.h5,16033,351,16384,2.142333984375
TrainData,mask_1202.h5,16384,0,16384,0.0
TrainData,mask_1203.h5,16384,0,16384,0.0
TrainData,mask_1204.h5,16384,0,16384,0.0
TrainData,mask_1205.h5,16354,30,16384,0.18310546875
TrainData,mask_1206.h5,15827,557,16384,3.399658203125
TrainData,mask_1207.h5,15576,808,16384,4.931640625
TrainData,mask_1208.h5,15384,1000,16384,6.103515625
TrainData,mask_1209.h5,15141,1243,16384,7.586669921875
TrainData,mask_121.h5,16213,171,16384,1.043701171875
TrainData,mask_1210.h5,14974,1410,16384,8.60595703125
TrainData,mask_1211.h5,15430,954,16384,5.82275390625
TrainData,mask_1212.h5,16189,195,16384,1.190185546875
TrainData,mask_1213.h5,16264,120,16384,0.732421875
TrainData,mask_1214.h5,15615,769,16384,4.693603515625
TrainData,mask_1215.h5,15892,492,16384,3.0029296875
TrainData,mask_1216.h5,16171,213,16384,1.300048828125
TrainData,mask_1217.h5,15360,1024,16384,6.25
TrainData,mask_1218.h5,15995,389,16384,2.374267578125
TrainData,mask_1219.h5,16000,384,16384,2.34375
TrainData,mask_122.h5,16373,11,16384,0.067138671875
TrainData,mask_1220.h5,16314,70,16384,0.42724609375
TrainData,mask_1221.h5,16384,0,16384,0.0
TrainData,mask_1222.h5,16384,0,16384,0.0
TrainData,mask_1223.h5,16384,0,16384,0.0
TrainData,mask_1224.h5,16384,0,16384,0.0
TrainData,mask_1225.h5,16384,0,16384,0.0
TrainData,mask_1226.h5,16384,0,16384,0.0
TrainData,mask_1227.h5,16318,66,16384,0.40283203125
TrainData,mask_1228.h5,16384,0,16384,0.0
TrainData,mask_1229.h5,16384,0,16384,0.0
TrainData,mask_123.h5,16384,0,16384,0.0
TrainData,mask_1230.h5,16384,0,16384,0.0
TrainData,mask_1231.h5,16330,54,16384,0.32958984375
TrainData,mask_1232.h5,14270,2114,16384,12.90283203125
TrainData,mask_1233.h5,15624,760,16384,4.638671875
TrainData,mask_1234.h5,16384,0,16384,0.0
TrainData,mask_1235.h5,16384,0,16384,0.0
TrainData,mask_1236.h5,16137,247,16384,1.507568359375
TrainData,mask_1237.h5,15992,392,16384,2.392578125
TrainData,mask_1238.h5,16367,17,16384,0.103759765625
TrainData,mask_1239.h5,16237,147,16384,0.897216796875
TrainData,mask_124.h5,16371,13,16384,0.079345703125
TrainData,mask_1240.h5,16037,347,16384,2.117919921875
TrainData,mask_1241.h5,16336,48,16384,0.29296875
TrainData,mask_1242.h5,16359,25,16384,0.152587890625
TrainData,mask_1243.h5,16384,0,16384,0.0
TrainData,mask_1244.h5,16384,0,16384,0.0
TrainData,mask_1245.h5,16384,0,16384,0.0
TrainData,mask_1246.h5,16374,10,16384,0.06103515625
TrainData,mask_1247.h5,16017,367,16384,2.239990234375
TrainData,mask_1248.h5,16384,0,16384,0.0
TrainData,mask_1249.h5,14970,1414,16384,8.63037109375
TrainData,mask_125.h5,16384,0,16384,0.0
TrainData,mask_1250.h5,14655,1729,16384,10.552978515625
TrainData,mask_1251.h5,14922,1462,16384,8.92333984375
TrainData,mask_1252.h5,15792,592,16384,3.61328125
TrainData,mask_1253.h5,15940,444,16384,2.7099609375
TrainData,mask_1254.h5,16334,50,16384,0.30517578125
TrainData,mask_1255.h5,16297,87,16384,0.531005859375
TrainData,mask_1256.h5,16242,142,16384,0.86669921875
TrainData,mask_1257.h5,15629,755,16384,4.608154296875
TrainData,mask_1258.h5,14478,1906,16384,11.63330078125
TrainData,mask_1259.h5,16108,276,16384,1.6845703125
TrainData,mask_126.h5,16384,0,16384,0.0
TrainData,mask_1260.h5,16193,191,16384,1.165771484375
TrainData,mask_1261.h5,16384,0,16384,0.0
TrainData,mask_1262.h5,16349,35,16384,0.213623046875
TrainData,mask_1263.h5,16239,145,16384,0.885009765625
TrainData,mask_1264.h5,16242,142,16384,0.86669921875
TrainData,mask_1265.h5,16384,0,16384,0.0
TrainData,mask_1266.h5,16384,0,16384,0.0
TrainData,mask_1267.h5,16356,28,16384,0.1708984375
TrainData,mask_1268.h5,16372,12,16384,0.0732421875
TrainData,mask_1269.h5,16384,0,16384,0.0
TrainData,mask_127.h5,16377,7,16384,0.042724609375
TrainData,mask_1270.h5,16364,20,16384,0.1220703125
TrainData,mask_1271.h5,16384,0,16384,0.0
TrainData,mask_1272.h5,16384,0,16384,0.0
TrainData,mask_1273.h5,16283,101,16384,0.616455078125
TrainData,mask_1274.h5,16292,92,16384,0.5615234375
TrainData,mask_1275.h5,16366,18,16384,0.10986328125
TrainData,mask_1276.h5,16384,0,16384,0.0
TrainData,mask_1277.h5,16190,194,16384,1.18408203125
TrainData,mask_1278.h5,16069,315,16384,1.922607421875
TrainData,mask_1279.h5,16136,248,16384,1.513671875
TrainData,mask_128.h5,16197,187,16384,1.141357421875
TrainData,mask_1280.h5,15750,634,16384,3.86962890625
TrainData,mask_1281.h5,15660,724,16384,4.4189453125
TrainData,mask_1282.h5,16056,328,16384,2.001953125
TrainData,mask_1283.h5,15047,1337,16384,8.160400390625
TrainData,mask_1284.h5,16002,382,16384,2.33154296875
TrainData,mask_1285.h5,15054,1330,16384,8.11767578125
TrainData,mask_1286.h5,16384,0,16384,0.0
TrainData,mask_1287.h5,16384,0,16384,0.0
TrainData,mask_1288.h5,16214,170,16384,1.03759765625
TrainData,mask_1289.h5,16211,173,16384,1.055908203125
TrainData,mask_129.h5,16384,0,16384,0.0
TrainData,mask_1290.h5,15488,896,16384,5.46875
TrainData,mask_1291.h5,16258,126,16384,0.76904296875
TrainData,mask_1292.h5,16147,237,16384,1.446533203125
TrainData,mask_1293.h5,15924,460,16384,2.8076171875
TrainData,mask_1294.h5,15811,573,16384,3.497314453125
TrainData,mask_1295.h5,15692,692,16384,4.2236328125
TrainData,mask_1296.h5,16332,52,16384,0.3173828125
TrainData,mask_1297.h5,16286,98,16384,0.59814453125
TrainData,mask_1298.h5,16256,128,16384,0.78125
TrainData,mask_1299.h5,15798,586,16384,3.57666015625
TrainData,mask_13.h5,16384,0,16384,0.0
TrainData,mask_130.h5,16384,0,16384,0.0
TrainData,mask_1300.h5,16384,0,16384,0.0
TrainData,mask_1301.h5,16384,0,16384,0.0
TrainData,mask_1302.h5,16185,199,16384,1.214599609375
TrainData,mask_1303.h5,16038,346,16384,2.11181640625
TrainData,mask_1304.h5,16200,184,16384,1.123046875
TrainData,mask_1305.h5,16384,0,16384,0.0
TrainData,mask_1306.h5,16384,0,16384,0.0
TrainData,mask_1307.h5,16384,0,16384,0.0
TrainData,mask_1308.h5,16384,0,16384,0.0
TrainData,mask_1309.h5,16339,45,16384,0.274658203125
TrainData,mask_131.h5,16384,0,16384,0.0
TrainData,mask_1310.h5,16384,0,16384,0.0
TrainData,mask_1311.h5,16384,0,16384,0.0
TrainData,mask_1312.h5,16384,0,16384,0.0
TrainData,mask_1313.h5,16384,0,16384,0.0
TrainData,mask_1314.h5,16249,135,16384,0.823974609375
TrainData,mask_1315.h5,16315,69,16384,0.421142578125
TrainData,mask_1316.h5,16357,27,16384,0.164794921875
TrainData,mask_1317.h5,16351,33,16384,0.201416015625
TrainData,mask_1318.h5,16282,102,16384,0.62255859375
TrainData,mask_1319.h5,16310,74,16384,0.45166015625
TrainData,mask_132.h5,16270,114,16384,0.69580078125
TrainData,mask_1320.h5,16284,100,16384,0.6103515625
TrainData,mask_1321.h5,15906,478,16384,2.91748046875
TrainData,mask_1322.h5,16284,100,16384,0.6103515625
TrainData,mask_1323.h5,16239,145,16384,0.885009765625
TrainData,mask_1324.h5,16282,102,16384,0.62255859375
TrainData,mask_1325.h5,15952,432,16384,2.63671875
TrainData,mask_1326.h5,16168,216,16384,1.318359375
TrainData,mask_1327.h5,15874,510,16384,3.11279296875
TrainData,mask_1328.h5,15342,1042,16384,6.35986328125
TrainData,mask_1329.h5,14442,1942,16384,11.85302734375
TrainData,mask_133.h5,16384,0,16384,0.0
TrainData,mask_1330.h5,15084,1300,16384,7.9345703125
TrainData,mask_1331.h5,14615,1769,16384,10.797119140625
TrainData,mask_1332.h5,15130,1254,16384,7.65380859375
TrainData,mask_1333.h5,15368,1016,16384,6.201171875
TrainData,mask_1334.h5,12157,4227,16384,25.799560546875
TrainData,mask_1335.h5,15367,1017,16384,6.207275390625
TrainData,mask_1336.h5,16353,31,16384,0.189208984375
TrainData,mask_1337.h5,16176,208,16384,1.26953125
TrainData,mask_1338.h5,16126,258,16384,1.57470703125
TrainData,mask_1339.h5,16384,0,16384,0.0
TrainData,mask_134.h5,16208,176,16384,1.07421875
TrainData,mask_1340.h5,16343,41,16384,0.250244140625
TrainData,mask_1341.h5,16384,0,16384,0.0
TrainData,mask_1342.h5,16377,7,16384,0.042724609375
TrainData,mask_1343.h5,16348,36,16384,0.2197265625
TrainData,mask_1344.h5,16009,375,16384,2.288818359375
TrainData,mask_1345.h5,16384,0,16384,0.0
TrainData,mask_1346.h5,16384,0,16384,0.0
TrainData,mask_1347.h5,16384,0,16384,0.0
TrainData,mask_1348.h5,16384,0,16384,0.0
TrainData,mask_1349.h5,16384,0,16384,0.0
TrainData,mask_135.h5,16053,331,16384,2.020263671875
TrainData,mask_1350.h5,16351,33,16384,0.201416015625
TrainData,mask_1351.h5,16375,9,16384,0.054931640625
TrainData,mask_1352.h5,16329,55,16384,0.335693359375
TrainData,mask_1353.h5,16384,0,16384,0.0
TrainData,mask_1354.h5,16384,0,16384,0.0
TrainData,mask_1355.h5,16384,0,16384,0.0
TrainData,mask_1356.h5,16384,0,16384,0.0
TrainData,mask_1357.h5,16333,51,16384,0.311279296875
TrainData,mask_1358.h5,15927,457,16384,2.789306640625
TrainData,mask_1359.h5,15994,390,16384,2.38037109375
TrainData,mask_136.h5,16328,56,16384,0.341796875
TrainData,mask_1360.h5,16273,111,16384,0.677490234375
TrainData,mask_1361.h5,16384,0,16384,0.0
TrainData,mask_1362.h5,16384,0,16384,0.0
TrainData,mask_1363.h5,15405,979,16384,5.975341796875
TrainData,mask_1364.h5,16136,248,16384,1.513671875
TrainData,mask_1365.h5,16099,285,16384,1.739501953125
TrainData,mask_1366.h5,15642,742,16384,4.52880859375
TrainData,mask_1367.h5,15785,599,16384,3.656005859375
TrainData,mask_1368.h5,15494,890,16384,5.43212890625
TrainData,mask_1369.h5,15265,1119,16384,6.829833984375
TrainData,mask_137.h5,15986,398,16384,2.42919921875
TrainData,mask_1370.h5,15678,706,16384,4.30908203125
TrainData,mask_1371.h5,15684,700,16384,4.2724609375
TrainData,mask_1372.h5,15892,492,16384,3.0029296875
TrainData,mask_1373.h5,15045,1339,16384,8.172607421875
TrainData,mask_1374.h5,15084,1300,16384,7.9345703125
TrainData,mask_1375.h5,15968,416,16384,2.5390625
TrainData,mask_1376.h5,15696,688,16384,4.19921875
TrainData,mask_1377.h5,16382,2,16384,0.01220703125
TrainData,mask_1378.h5,15703,681,16384,4.156494140625
TrainData,mask_1379.h5,16384,0,16384,0.0
TrainData,mask_138.h5,16384,0,16384,0.0
TrainData,mask_1380.h5,16384,0,16384,0.0
TrainData,mask_1381.h5,16286,98,16384,0.59814453125
TrainData,mask_1382.h5,16363,21,16384,0.128173828125
TrainData,mask_1383.h5,16384,0,16384,0.0
TrainData,mask_1384.h5,16368,16,16384,0.09765625
TrainData,mask_1385.h5,16275,109,16384,0.665283203125
TrainData,mask_1386.h5,16384,0,16384,0.0
TrainData,mask_1387.h5,16384,0,16384,0.0
TrainData,mask_1388.h5,16384,0,16384,0.0
TrainData,mask_1389.h5,16384,0,16384,0.0
TrainData,mask_139.h5,15666,718,16384,4.38232421875
TrainData,mask_1390.h5,16384,0,16384,0.0
TrainData,mask_1391.h5,16384,0,16384,0.0
TrainData,mask_1392.h5,16129,255,16384,1.556396484375
TrainData,mask_1393.h5,16327,57,16384,0.347900390625
TrainData,mask_1394.h5,16384,0,16384,0.0
TrainData,mask_1395.h5,16343,41,16384,0.250244140625
TrainData,mask_1396.h5,16226,158,16384,0.96435546875
TrainData,mask_1397.h5,15841,543,16384,3.314208984375
TrainData,mask_1398.h5,16012,372,16384,2.2705078125
TrainData,mask_1399.h5,16008,376,16384,2.294921875
TrainData,mask_14.h5,16384,0,16384,0.0
TrainData,mask_140.h5,15206,1178,16384,7.18994140625
TrainData,mask_1400.h5,16108,276,16384,1.6845703125
TrainData,mask_1401.h5,16384,0,16384,0.0
TrainData,mask_1402.h5,15864,520,16384,3.173828125
TrainData,mask_1403.h5,16384,0,16384,0.0
TrainData,mask_1404.h5,16170,214,16384,1.30615234375
TrainData,mask_1405.h5,15887,497,16384,3.033447265625
TrainData,mask_1406.h5,16124,260,16384,1.5869140625
TrainData,mask_1407.h5,15411,973,16384,5.938720703125
TrainData,mask_1408.h5,14675,1709,16384,10.430908203125
TrainData,mask_1409.h5,15226,1158,16384,7.06787109375
TrainData,mask_141.h5,15560,824,16384,5.029296875
TrainData,mask_1410.h5,15617,767,16384,4.681396484375
TrainData,mask_1411.h5,14704,1680,16384,10.25390625
TrainData,mask_1412.h5,16250,134,16384,0.81787109375
TrainData,mask_1413.h5,15358,1026,16384,6.26220703125
TrainData,mask_1414.h5,14889,1495,16384,9.124755859375
TrainData,mask_1415.h5,15443,941,16384,5.743408203125
TrainData,mask_1416.h5,16251,133,16384,0.811767578125
TrainData,mask_1417.h5,16240,144,16384,0.87890625
TrainData,mask_1418.h5,16384,0,16384,0.0
TrainData,mask_1419.h5,16331,53,16384,0.323486328125
TrainData,mask_142.h5,15348,1036,16384,6.3232421875
TrainData,mask_1420.h5,16384,0,16384,0.0
TrainData,mask_1421.h5,16384,0,16384,0.0
TrainData,mask_1422.h5,16363,21,16384,0.128173828125
TrainData,mask_1423.h5,16358,26,16384,0.15869140625
TrainData,mask_1424.h5,16384,0,16384,0.0
TrainData,mask_1425.h5,15767,617,16384,3.765869140625
TrainData,mask_1426.h5,16150,234,16384,1.42822265625
TrainData,mask_1427.h5,16384,0,16384,0.0
TrainData,mask_1428.h5,16384,0,16384,0.0
TrainData,mask_1429.h5,16384,0,16384,0.0
TrainData,mask_143.h5,14197,2187,16384,13.348388671875
TrainData,mask_1430.h5,16360,24,16384,0.146484375
TrainData,mask_1431.h5,16384,0,16384,0.0
TrainData,mask_1432.h5,16384,0,16384,0.0
TrainData,mask_1433.h5,16384,0,16384,0.0
TrainData,mask_1434.h5,16384,0,16384,0.0
TrainData,mask_1435.h5,16384,0,16384,0.0
TrainData,mask_1436.h5,16289,95,16384,0.579833984375
TrainData,mask_1437.h5,16257,127,16384,0.775146484375
TrainData,mask_1438.h5,16029,355,16384,2.166748046875
TrainData,mask_1439.h5,16384,0,16384,0.0
TrainData,mask_144.h5,16318,66,16384,0.40283203125
TrainData,mask_1440.h5,16370,14,16384,0.08544921875
TrainData,mask_1441.h5,16344,40,16384,0.244140625
TrainData,mask_1442.h5,16311,73,16384,0.445556640625
TrainData,mask_1443.h5,16254,130,16384,0.79345703125
TrainData,mask_1444.h5,16254,130,16384,0.79345703125
